Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
06393843-1790-43cd-acba-cd497300c734,,,Urology Orders,Urology Orders,Urology,Urologie,,,ConvSet,N/A,,,f6a2fd21-2c30-4354-9b7c-c5cd792f5796;76c19c5b-754d-4b2e-810d-e70115bd5fb4;163f759f-b4e9-428a-94e6-b3b32d0d55a2;5f922f68-2312-4f15-a250-cd2cd0f03418;0a51292e-cc89-412a-b15f-b09c25335afb;4a6df804-5163-49eb-9718-95c5a07d3b73;3cbd1669-2309-427f-97be-47332fe5889f;cbdb807b-2424-46e6-8d9c-6edb49ba3409;b63d1721-7a7c-4145-a894-fb95f88312e6;d1df8b82-e4a8-47b3-bfdb-7a9cfdddb696;20ff23b8-2e88-43e9-8cb2-73f619024606;7f3cdda6-fc61-4919-94fe-e8b5e4e2d232;5ced2a7b-42c2-4478-9e80-d5eab3f11e0c;25ce7a5d-6dc7-4bd2-a12a-3f39a01c3b14;fea19a91-a2ad-471e-b9ca-7869c085b1bc;e62c8971-735c-4736-b59c-f780078c3ebf;257affdc-a563-41a7-835b-15f5a5d30166;db693772-b8eb-4930-8b03-90f69a13ea32;f93c8dd2-792c-46d0-9198-c9c3a2b0026a;3f2fc969-3f84-4133-a2fb-7300df1b543c;2a2840a7-59d1-448f-a7f3-be0f5fb5ee2f;fdf99591-dc0d-4400-9cd2-3e7ea720317c;93a477b5-cd8c-4418-a27a-84853ea5537c;33b09bac-f458-4c57-8ed6-fdb04c7c9da5;880de8a3-b9c8-4885-8f6e-7d629502060b;975c8f54-ae6f-485a-a475-edb7eb5f42e8;3ecc4598-eded-43f7-9434-0cda0a11dd59;7c075857-c407-430c-8266-7d515c9fd9d4;c5f571fc-2431-414c-9b4c-c6231fd23ab7;a3a7ee6a-2cf2-4757-91ad-b39b19bd8ea7;391745dc-02d1-4dac-b6a7-bff9d3d7b9e7;9b31ad66-0c9f-4659-b79a-600a5af07642,,,,,,,,
deb250ad-89cc-4bfc-9e3f-5feb54ff4a67,,,Orthopedics and Traumatology Orders,Orthopedics and Traumatology Orders,Orthopedics and Traumatology,Orthopedie/Traumatologie,,,ConvSet,N/A,,,eb874096-70da-4fbc-a89f-c7611a5280a7;6505a44e-5405-4031-9b1a-778d36a58811;4031be8f-a52c-4cf5-bd56-91b6f91d1565;6366225b-ab78-4513-b9fa-bb6a166c4b55;97302d3e-89e2-45cc-9a98-5777c4d202a7;9c2c3ba9-5240-421e-a53f-2159f0243c79;97ccf29b-b949-462f-b4bd-95efdd3e7441;a9283050-20d3-4fc3-8172-d2c49c54f36c;32c7a6ce-b7f3-48ff-ad9c-79df4ca49360;a69d88b1-281b-4535-a431-809e4fae535c;3adfe531-3235-4c45-8661-4994c497cc38;eb6fcf84-19f0-4ed3-ac7e-1d7a772d01a9;93c675b4-d25f-484d-96fd-194d8ed98d4d;8f091125-e6cb-4204-b7be-b44737ad7bd4;12f65ae5-730d-49dc-a26f-b79ae32e9398;a587d6dc-03f3-478e-806c-a6e8ee7c2e82;ab82c53f-9065-472d-a988-e22eba553962;ed521b03-4b1d-4ea9-98c2-3251bbd50c1d;65bb48cf-001e-42f0-88a6-70a9f710cdb0;4c9bc307-2b68-4b07-97bd-b688e903c334;33c24b9e-2d07-4ab3-a59d-ef9eda3c756a;d2419d93-8b57-4ae9-9415-5b28309f46f2;cf6539fc-b1ba-435a-a1d6-17e4514ac748;7053cdb7-7094-4f4c-9c9a-7d8bce497162;99727bbd-aa6c-4525-83ff-d5f24d162b69;bc314c1f-4ab4-4f17-b0c4-269a101ce0c7;1db4e233-547e-4b9f-a36b-f12aaa3df0cf;84d1c981-63fd-474c-ae3b-931c58865c09;f8816af9-8d5c-40a3-b6df-3c3360d85d6d;810b25e2-3f10-428a-ab3c-35c36706c805;5c9279c6-21f5-47eb-8c4a-f970e642bd5e;f89632f2-b520-46f3-bd91-5b6ec21c0a5e;0d50d17d-550f-42a5-89c2-e808f566a351;54e9504d-7359-4eb7-9db2-c9f6144166a9;93ad8dce-0e09-4110-9474-47bd39781f6b;a4f61af8-4550-4144-b8b5-61c5111b12a3;62b7ed83-6a79-47c4-ac92-8a500115351f;1a20ea0e-03cc-437f-8b46-c9600c1874c4;d406065b-b1ee-4ff3-8a39-1b61c7202727;586591bb-f67e-47b8-a708-76db570f1167;a313fb09-1425-43f7-8a77-544ddaec57e7;9043dfdd-2a05-4f53-bd63-a06c07c7f111;70aef106-991e-451c-8b0e-fce2b89a1aeb;57c96d6d-921a-4e54-a920-ea8a2be52d5b;9495b189-d15d-45ee-af26-9008448ddc64;953be943-467a-4f13-95b7-f4d94873b8cb;d553d1b7-ec2b-49c9-a5f2-4d9837c935e9;a7b062c9-5c87-4af6-a68d-e6024b9ec3e8;cef36522-b321-4984-93e4-e92770326deb;f482e108-ca8d-47b4-bfde-0e4bfd44d7b7;7f3df511-2ec2-4c2b-bb6f-a10c8f1230bb;a300fd89-f424-4632-85a5-8252f260c38f;a2cdc219-dda2-472e-a377-b764a8db217a;597b981d-1ecd-44da-8203-d91b62d97d92;30847ace-cb79-4b91-be01-6c7b1f6e039f;88f40468-52ea-4c2d-a892-9297f295604c;8244f2f7-ba70-476f-9d60-92a8790d909e;410df63f-7e88-4b72-87b5-7db3462ceba1;70dc9b52-3e51-45d4-9427-9cf1f76717bb;2623bfd6-1d45-4ff3-93f5-a86e3eeb0c48;dc7ff57f-1194-4198-812a-8fc86ae1e53f;d4bd0764-6ffb-4c6c-befe-73fe1756f089;d7a853e1-d989-44d1-aff2-c77162502209;3ddd6df5-5978-448d-93c1-d13ea14f596b;c5c9d0b6-6f75-4d33-8ab9-77a78244c784;bd266d16-701b-4006-92a7-20a0fc5fe552;e31c4915-e07a-4610-9933-9eba9e1de379;49fed095-034e-40e4-96e6-488bb0f25c31;472c37d7-a8f0-42ea-9f26-f2b4f8d1a278;823802f1-3d94-486f-9da4-4ad29ce0cdcf;52223d49-f8da-4c4e-815a-a2ec6c4081e7;63b7fd70-419a-4f37-a91d-2d21592d3b79;ba79d295-36a7-4503-b8c8-7b980500f1ac;bd4d9020-9ee8-421c-8e94-bf6f944c3d00;8566ff37-280c-4814-a3db-891e6cc3dcb6;cf1cfff9-2411-4cc5-91bf-d29bcbfbb8a0;0fb9a57f-3c72-450a-9c2d-770be5c18804;ca89200d-e3eb-49a0-84fc-11c24772ea4d;f8bcd75d-4d47-46ef-b532-0f0059169c2d;a51b261a-2b48-4884-9b37-5d8bb1582be8;7fffd487-2ccd-404f-bcda-de253147dd1a;549220f7-31c5-4856-94fa-f940e982d18b;4019c19b-3f92-4951-a814-23c70fa2e198;1db45866-4cac-47cf-8e7a-1e7edab26f8b;af921c99-c046-4b3f-91fe-5914bf771f12;d2d39bd1-912b-4388-a623-de78083ac601;31dff92a-77a8-4eb0-aadd-e49146b7ba98;a1ebf702-9fe0-4e11-b941-fe2ad250cb6b;79c483e1-64d8-439d-a84a-5018f2ccbab5;6bcebcd9-affa-44f5-aea1-6399428d7c20;f9d291a7-5395-4aa2-a40d-6028b1fbf55c;7e2ce74c-f7e6-4f8c-96dd-5f5383e73f4e;b91814fd-513d-4703-bac3-08f3be68ffdf;bb8799b9-da51-456f-995e-20dd3dfe4155;c80120da-830d-4fb3-b7a2-894255875f23;9519bda1-a700-4d96-9e42-be23c25127b2;949d4bf4-04a2-4f8c-aa86-d313ad9690c3;b3f70af0-3ac2-47ac-95c4-8498de57f6a9;5f10589a-06fc-4a20-8451-56ed387ef746;7fd2d013-92eb-4010-9cad-f5a5127775dd;7f6c525b-3bc9-4f80-b71d-d944099a085b;f7311a62-156f-40a1-9232-82a2567e01d2;ea138849-91cd-41fb-9c71-7796878fc3f7;df8085bc-7d83-47e1-a39c-e11fc3d7c92b;476b2a10-635b-4e44-a7a2-028aa6c269dd;cea7d3b1-fd94-41c7-b571-ccf710216551;72071b51-5ad7-4b07-ba07-d1d6a67e44c1;ae794070-0b67-4b71-858d-c926f8158227;c0aa7197-c73d-4b37-bd72-0e50dea5186d;f2426dea-8304-49cb-820e-dfa6295b5932;4d5dd10a-59da-4b1d-ac3f-06fb139c0937;1b4360a3-da0d-4a63-9b6a-92d7b1ae14c8;7c23f3a4-19e4-4266-9c50-33bac07147ab;acc5fd6f-7cf7-4459-bfc3-d00764a0c25f;ce82da78-ac98-49a8-81c8-59977f61f3f4;0f5d7912-e2b8-4b61-a0f6-7e410a296f1b;06dbc8b1-b1a3-4953-a476-10546257eb0d;4712a737-a54d-4258-a12e-b6ee96070a56;f44618c8-d424-4b91-a41d-9cc35c044145;3bc60347-7d56-416f-a8f8-b31b8c52a3a9;bb328306-984e-44bc-82b8-4c61393373b7;43eec935-cac4-4f1c-ae70-40c145f7a34d;6f397298-636d-4a77-9ad8-4f3b812752ed;bc196611-b3ae-4eea-a2b3-7236c0ffa96a;644fd616-4517-4aa5-9f5a-9585ac9050de;be93b835-82ee-4cb2-bced-68ec4ac45811;9b6c892a-e222-4720-bff5-ab1baaa5ed3c;13d566c5-62f4-413b-88a6-95510e245810;9ca5a139-0520-4580-8e22-e856647256cd;26dbc71d-413d-4595-9c82-e582f216ad96;c8a4519d-2d22-44cf-83d0-bd6ed989aa0f;0d8d7c13-8c50-46fe-acac-243361691476;272d411d-c151-4a1f-80e5-7068aee74cb2;e41293cf-efcc-47c3-9719-b01a020dd3f9;6cad3736-7183-4b08-8477-d5f340d22768;2afcf7e7-061b-4735-8571-6bcd1bd36aae;58dcd0a7-6851-457d-9a42-5721f1c924c4;b5d7bde5-39b0-45e6-beef-859475ccb1be;c951f782-0189-4309-b89c-6a5470397f76;444696b9-ff2a-4189-a238-f41a2556f34d;a2021dbb-138d-4601-b3e4-3a371872320b;1bbdbfa5-7856-49d3-9d54-4320bf13c210;24b301cc-3ddc-4e2b-a8f3-19d53263a846;ff033096-f417-426c-9535-3efdf26be5f7;842b9004-ba76-41bc-bff6-ae7e1340f2f9;0fe32dfb-e8e2-4887-a003-bb4f100532eb;5af985d1-9466-432d-b396-7757f7d10ea0;7efbb578-5ff4-4c3c-94fa-4e0211ed1c83;ca7be3cd-0a4c-4cfd-b0e6-e7d4aa1910af;e3f4d6d1-41a8-4218-a7b2-068839d75de2;57144ec9-197e-457e-8dc0-5eb6e5d1c77d;5371cdc7-769b-4a70-a69c-a0d622475df0;3d93d0f0-6b0b-4903-82b7-2265bc72ecec;a94b76ef-01d2-4097-bf4a-1ecc10dbfa8f;91d7fea7-2a7f-435a-8fdd-fd820b94c4ad,,,,,,,,
5a710e4f-82f8-4a77-87cc-bdca445dc87e,,,ENT Orders,ENT Orders,ENT,ORL,,,ConvSet,N/A,,,9377261f-51f4-49fa-88d5-22d700ef451a;766ae395-936c-4dba-8af1-81e4337c95f7;3f0004ae-3358-44a7-99fc-d4962e814165;53a644ff-11f4-4056-b7bd-7d6de26d5ec4;d98ab98f-e4d2-4768-8ea9-0dc4cf3ce64d;eeb17000-c550-4ebc-bce6-3d8511c826b8;641adb47-4762-409c-bfb6-1459d43c69d9;ef09e691-be97-4342-9f7c-13b3d2c99c57;6521905f-f2f6-4e2b-9e60-81875b8360c0;81af7d7e-da97-476c-9608-6970fb14619f;fdc68407-9e0c-4027-8db7-195181902fcd;8471106c-fa95-4df2-b764-04d777799b21;6f1fd0cb-32cd-4d5a-a07a-00e0d8709cd2;3b95e2db-954a-4afe-93da-fdda66dc280e;d59a83ee-b5d0-45ad-b8d4-53d119b8cfa8;3c25dfeb-e488-4539-ab64-1494d77e5616;f7004b3a-2f3f-40c2-9203-fa8d24b4783b;447cd68e-fd33-407d-ac5c-24c81b992816;dd0f49ca-8001-4c72-b211-e355be8d7a8b;f81e2d32-3b72-49aa-a199-19602d1588a7;d3543e8f-1561-43be-9f96-2b1bed0d83fe;dfa04c22-bf42-4e63-9878-424af28faf1c;b8506576-7359-4adf-96f0-e5400b5087a2;777485b9-9bc5-4b84-a575-2cb08a074328;908b995d-9dcc-4356-b45c-27e66a9577a3;6b401cef-025d-4ad9-bdfd-9951941d633e;a9fa6c7b-8ed0-4906-8c84-135ac328a0b2;9c899fb8-982b-451a-b19f-a6700a555df9;8e95c1e5-b49c-4b32-8648-b6386e955e44,,,,,,,,
c3f8f226-79ca-4827-a14f-1e8691ece859,,,Materials and Procedure Orders,Materials and Procedure Orders,Materials and Procedure,Materials and Procedure,,,ConvSet,N/A,,,e354e5a6-0f74-4e69-a5d8-6fdd3ca4bcc2;7a29215f-157d-438f-9cf5-aa8e90452018;b3e11605-3977-4308-a59c-0bd28d4b2626;31cc0fa6-0fe1-4069-b751-d028d1974ea4;76b4bdd9-5e60-47ef-af8d-40cb6354d20f;4d3bbd1d-80ea-4013-b527-2e00e614ca5a;ebcae73e-8afa-43f5-9f76-5035233f622d;88c71bfc-592f-4147-acfd-adac65fac894;9e95f5f8-a0cf-4136-963a-9f3aafcc2878;5a4c17ce-8305-4ea4-baca-0db107ae5ec2;65705411-b0b0-4f5f-bdd9-aa3a7fb64a25;ab20b3e2-6502-4b36-80d5-241974bb458c;4cb8969b-1005-4e96-84bf-485aa9c7c118;6ca9d66f-fb17-4705-837e-b04269c142d8;c78f9a34-e6cc-4149-8b94-26680d375e75;ad9757f8-7419-4b4a-b563-8be18abcfad8;0165c0ef-c91b-4a1c-b4bf-dbf5cdc59ca7;1a51c1e4-af95-472f-8d35-6b00fe5b7df6;70c1cf56-28ea-468b-9f86-c47e76ae1696;a48e26fd-86de-4138-93ce-797387cfa569;665d56c4-5f8f-4778-82ea-56498e3ab8c0;97964dbf-d72e-4ada-875e-2deb1ead957e;3cb744db-4e5e-4ee5-9f1c-3175140a3ba7;87d3ea87-9870-4abf-85ed-b34395a5a535;6034281d-03ea-4b2a-8adc-621df27c972e;8f7bd871-b35d-46e7-ba15-4e144d9caf26;2dfd45f6-d5e4-4fcf-8655-f54296618542;34cab6cb-26c5-4c47-86a5-008449e37e88;a3821c14-47e2-4773-bc8c-f445ae6878a4;aebc32df-143e-4107-9e61-3c115bee8fe3;52d8117e-9292-4258-af5d-a9b4b922788d;f554ca87-d439-496f-9d4f-0c5cdba63a2d;077e61b1-a964-40a8-a5e5-0c43805492cf;73466d33-77a8-4b84-b991-23da71c7c549;48ac6c8f-5a8e-4a05-92ed-4925fd7ea35c;24b7b4ae-34a9-44ed-878f-a44500166caf;f5b7f6d6-192d-4bec-8617-729f4476b06d;9601b319-bea6-4ac3-a4fc-6b23259ad361;3ee64230-4498-4857-99ef-5a4ebc528795;f6a57ad8-21a2-4132-9ec8-c711f2193367;a5be18cb-7385-4556-ada6-7083076715b0;1beb7409-ce98-4a8b-9899-64c9a4c9ad58;6dfc6ff9-93db-47c4-81cc-d580841ded3c;ebddf624-7323-4d70-982e-67ac98722ce5;9c1de0f3-8490-4a78-a66a-cb5c1b714e88;98d6c7bc-27bd-4683-a709-d08a0a791392;064134c0-a243-4c14-85c1-2ac61ea581c9;c7997294-91d9-4826-a47f-ab424b7db45c;1391f83b-5909-481b-8c25-05f26d0b1604;2959828d-f751-4aa5-89e0-be841c040885;4c4f803d-a58d-47a6-ac6a-cdeeddfc7d1d;ca860042-8dab-4b7c-a8f9-2421b53d0438,,,,,,,,
b2ca5345-c093-4665-ad42-7a493c0e4adf,,,Wounds Orders,Wounds Orders,Wounds,Plaies et Lacerations,,,ConvSet,N/A,,,799a3a6a-13c7-48cb-bb9d-4f88ef88bb3d;53867e4b-0302-473c-81e8-d4c66f127552;12c4f274-1e0d-4935-a9e6-071db8bda75c;f5043ff3-98bd-476f-be9d-eccdf94a7c9e,,,,,,,,
6114ad1c-e46a-478b-9629-04a2f178153c,,,Wound Dressing With Anesthesia Orders,Wound Dressing With Anesthesia Orders,Wound Dressing With Anesthesia,Pansement sous Anesthesie Generale,,,ConvSet,N/A,,,b60c5bd7-2856-4e34-aeb4-46c2ba0b2455;fdab607a-65e6-4cde-8a4a-cc97ba0eb63a;b9fa88ca-38e1-4c8e-8757-4d1437346ba4;57c82de8-fbd9-472f-bb81-298e3c760bd4;d7470b17-5471-4e7f-b125-2cf45d746ce2;7b2b3608-3722-49b4-bdf3-c744c5b31df8;d1fc1d0d-9286-4080-97aa-76fd633fd0e5;2c771270-4a5e-4c7a-ba4c-df85afc7ebbc;6c1387a7-76b2-4f94-99b5-ce8ed81b7b4b;2e2ad3d8-7433-4bcf-8a3d-6182b0ff019e,,,,,,,,
b55d10ca-afa0-42c8-9c37-0d65ea0152b6,,,Wound Dressing No Anesthesia Orders,Wound Dressing No Anesthesia Orders,Wound Dressing Without Anesthesia,Pansement sans Anesthesie,,,ConvSet,N/A,,,3cef2071-48a2-4b16-a787-5f132139771f;7d2f5b5f-2d10-4af3-9581-5bb5690ffe59;8ba1e204-507a-498f-986f-3c454fa82018;8b12c191-639b-4a91-99ec-846021474859;315605f7-7a7b-4f85-b6d3-55a9fd5acd65;fb5f4a69-f209-442f-8f5e-ac88a1f87daa;03c6fdc2-b80b-44f5-9727-88a0220bcf14;74d5797d-b5c7-48a8-ac0f-b16cd1faae39;ba5f9e00-eab3-470b-8385-6844e9b47414;5564bebe-6655-482c-80b1-a8bd4d504b71,,,,,,,,
